mid,rate_avg
4532,3.0260534
4533,3.0401843
4534,3.1973658
4535,3.4539886
4537,3.494421
4540,3.3691823
4541,2.8387518
4543,3.0602274
4544,3.3462195
4545,3.0989635
4546,2.8454797
4552,2.8583086
4553,2.6613955
4555,3.5860012
4557,3.5045671
4558,3.6643233
4559,3.3666773
4560,2.6339402
4561,3.0210257
4562,3.4546745
4563,3.3148005
4564,3.4964006
4565,3.0696466
4566,3.3085454
4567,3.3138447
4569,3.030198
4570,3.597152
4571,3.307775
4572,3.1218805
4573,3.4699523
4574,3.0483243
4577,3.771367
4578,3.3076255
4580,3.0647323
4581,3.4958422
4584,3.2881012
4585,3.3838968
4586,3.5816538
4587,3.5568964
4588,3.4364572
4589,3.496502
4590,3.586
4591,3.3548925
4593,3.4640307
4595,3.749231
4597,3.4949577
4598,3.3679051
4599,3.5003343
4600,3.5860002
4602,3.454268
4603,3.1813006
4605,3.5466678
4608,3.3299243
4609,3.498738
4610,3.2858582
4611,3.5602322
4612,3.494448
4613,3.2559454
4614,3.07108
4615,3.5096312
4616,3.4947991
4617,3.3660746
4618,2.6141143
4619,3.0979896
4620,3.3404138
4621,3.374937
4622,3.3417542
4623,3.3899872
4624,3.3673232
4625,3.4663472
4626,3.2016587
4627,3.3654027
4628,3.6006222
4629,3.2499604
6959,3.0424469
6961,3.4916859
6963,3.6339197
6966,3.1314154
6967,3.0274649
6969,3.158485
6970,3.3404467
6971,3.6185095
6973,3.4200644
6974,3.4230213
6975,3.1059618
6976,2.908324
6977,3.4991918
6978,3.370244
6979,3.1795697
6980,3.124848
6981,3.494447
6982,3.6541579
6983,3.4768507
6984,3.3308334
6985,3.6344993
6986,3.4653325
6987,3.1561968
6988,3.4748707
6989,3.5222309
6990,3.4833794
6991,3.2892709
6992,3.5605855
6993,3.632028
6994,3.291936
6995,3.1245987
6996,3.0559943
6997,3.4563453
6998,3.5084739
6999,3.3498037
7000,3.20398
7001,2.8788288
7003,3.587165
7004,3.16227
7005,3.1411154
7007,3.1824486
7008,3.5377827
7009,3.503061
7010,3.4934702
7011,3.5666287
7012,3.3051531
7013,3.2714453
7014,3.2654874
7015,3.3387015
7016,3.371105
7017,3.0043359
7018,3.5968795
7019,3.4036198
7020,3.4994435
7021,3.500923
7022,3.4477358
7023,3.5950427
7024,3.5510416
7025,3.6303098
7026,3.3807411
7027,3.5458047
7028,3.432362
7029,2.8563082
7030,3.5030107
7031,3.3460586
7032,3.5365481
7033,3.3845396
7034,3.801999
7035,3.0404186
7036,3.3667676
7037,3.59584
7038,3.4697754
7039,3.1289923
7040,3.096352
7041,3.2206593
7042,3.4926336
7043,3.4990032
7044,3.4069362
7045,2.891055
7046,3.0224035
7047,3.343828
7048,3.174749
7050,3.3387113
7051,3.3416321
7054,3.233594
7055,3.3435478
7056,3.391892
7057,3.2883031
7058,3.1185148
7059,3.2475214
7060,3.6362314
7061,3.4882061
7062,3.5154843
7063,3.6064074
7064,3.4862468
7065,3.6291711
7067,3.7933965
7068,3.4837382
7069,3.7611654
7070,3.248693
7071,3.498772
32562,3.6388152
32582,3.6339347
32584,3.503067
32587,3.207275
32589,3.3494582
32591,3.6215463
32596,3.5266593
32598,3.6242483
32627,3.36589
32657,3.7778082
32721,3.5853167
32743,3.0884585
32770,3.4972382
32825,3.2896488
32840,3.7859087
32853,4.056214
32892,3.6289003
32898,3.1788828
32943,3.6181607
33004,3.1111276
33036,3.374019
33072,3.6394248
33085,3.151495
33124,3.519173
33138,3.6128135
33145,3.6428928
33154,3.6501245
33158,3.1790648
33162,3.614551
33164,2.974944
33166,3.5382981
33171,3.5113442
33288,3.5052896
33312,3.3654144
33358,3.49603
33421,3.6504803
33437,3.1823187
33451,3.6174386
33463,3.3863578
33493,3.1868393
33495,3.1290693
33499,3.3673942
33539,3.652419
33558,3.3031313
33564,3.5509946
33585,3.5469837
33615,3.4650033
33621,3.652126
33639,3.3870556
33644,3.121989
33646,3.6817634
33649,3.3403704
33660,3.615164
33669,3.3512921
33672,3.341032
33677,3.4703307
33679,3.4514532
33681,2.845177
33683,2.9320176
33722,3.4764512
33725,3.6258197
33779,3.5407588
33794,3.6372988
33815,3.3603184
33817,3.4279847
33819,3.4680407
33826,3.61372
33830,3.10245
33834,2.937119
33836,3.3717499
33838,3.633966
33880,3.5901158
33893,3.5437
33896,2.9080267
33903,3.629073
33966,2.9549236
34048,3.2243516
34072,3.4098542
34143,3.1074324
34148,3.4539957
34150,3.1218352
34153,3.6339595
34155,3.4950886
34162,3.4040859
34164,3.6053598
34198,3.607438
34271,3.5162995
34292,2.8068888
34319,3.006876
34321,3.1247385
34323,3.2452102
34326,3.4979072
34332,3.1169643
34334,3.115571
34336,3.3528142
34338,3.7546837
34359,3.586019
34405,3.0160382
34437,3.7237263
34482,3.4944115
56715,3.5909126
56757,3.2334297
56775,3.140326
56782,3.5421991
56788,3.7617216
56801,2.7130466
56805,3.3878486
56885,3.513403
56908,3.595698
56915,3.013749
56921,3.2413979
56941,3.524532
56949,3.406617
57147,3.5129595
57223,2.901691
57243,3.6264381
57274,3.044679
57326,3.3269658
57353,3.5147517
57368,3.0618525
57370,3.2838626
57401,3.3448808
57464,3.5939717
57502,3.232478
57504,3.7555077
57520,2.9514327
57526,3.163659
57528,3.0860667
57532,3.4089882
57534,3.1111293
57536,3.3822222
57538,3.3653507
57637,2.632955
57640,3.2610872
57669,3.7294493
57792,3.6077907
57845,3.6377718
57910,3.0404587
57951,3.2021334
57980,3.7879758
58025,3.2778525
58047,3.4337702
58078,3.3405962
58103,3.3796191
58105,3.2900944
58107,3.5657015
58154,3.550443
58156,3.3930655
58162,3.3699474
58191,3.6340501
58246,3.4991074
58291,3.1312864
58293,3.4098442
58295,3.5425465
58297,3.0079024
58299,3.4481404
58301,2.960373
58303,3.6768124
58306,3.3888018
58315,3.3559082
58332,2.7134633
58334,3.572
58347,3.3631787
58351,3.512308
58376,3.7700887
58418,3.597819
58425,3.2568178
58432,3.6225529
58490,3.6001425
58492,3.4893844
58559,3.6858506
58622,3.365505
58627,3.4203455
58652,3.3413613
58655,3.3920135
58706,3.6697276
58803,3.6013432
58806,3.5964556
58839,3.3497968
58876,3.6467953
58879,3.6520407
58964,2.9162633
58972,3.117668
58975,3.176225
58998,3.657019
59014,3.1794724
59016,3.3573415
59018,3.5608397
59022,3.3720744
59026,3.413422
59037,3.113003
59103,3.0713208
59118,3.665068
59126,3.7701938
59141,3.3789833
59143,3.7565532
59220,3.594699
59256,3.558029
59258,3.3472848
59295,3.6339514
59306,2.9650316
74668,3.1112554
74677,3.6365986
74685,2.9058008
74688,3.645409
74698,3.1968827
74727,3.674353
74750,2.8654935
74754,3.4677582
74787,3.499452
74789,3.0924025
74791,3.359542
74795,3.3184805
74851,3.1102183
74868,3.459969
74916,3.5981884
74944,3.511201
74946,3.3944795
74948,3.351718
75341,3.5423822
75395,3.1974602
75805,3.1474636
75813,3.626987
75985,3.060285
76030,2.9703279
76054,3.4244635
76077,3.3566785
76079,3.5569315
76091,3.591899
76093,3.362282
76130,2.9634027
76173,3.2646875
76175,3.1717956
76210,3.5181217
76251,3.2673657
76293,3.4014943
76317,3.1816978
76738,3.8091745
76763,3.51031
77191,3.3747532
77201,3.3312097
77206,3.147623
77240,3.4719286
77307,3.5464566
77364,3.2161565
77414,3.2648687
77421,3.5979598
77427,2.9164166
77455,3.6738446
77540,3.0090477
77561,3.2010257
77629,3.8092785
109483,3.4050915
109487,4.478931
109569,3.3980765
109578,3.215568
109673,3.401029
109846,3.324688
109848,3.472807
109850,3.4199405
109864,3.6893694
109895,3.400803
110102,3.3888736
110127,3.6234732
110297,3.1765168
110407,3.176251
110453,3.5437953
110501,3.1588688
110553,3.3340092
110586,3.5439026
110591,2.9596496
110730,3.550519
110771,3.4866235
110882,3.5330765
111113,3.5146995
111235,3.6440082
111360,3.3700292
111362,3.3309762
111364,3.1439624
111384,3.2643507
111443,3.4923635
111617,3.4700847
111622,3.7747378
111659,2.975454
111743,3.5893915
111759,3.3375854
111921,3.7028396
112006,3.301229
112138,3.4338276
112171,3.5477169
112175,3.5341272
112183,3.9862866
112290,3.5913444
112370,3.2803655
112421,3.7783551
112515,3.2717798
112552,3.9486587
112556,4.0638337
112623,3.5251908
112788,3.6940794
112804,3.5209048
112818,3.0437937
112852,3.7971938
