rate_ave,rate_cnt,popularity,mid
3.99324,6290,0.07085,162
3.4307,15823,6.60247,163
3.46287,4525,0.71648,164
3.49461,38138,15.0563,165
2.80493,669,1.38873,166
3.06722,13240,4.26052,168
2.31048,3902,2.86704,169
3.2092,8934,7.85099,170
3.60697,1449,0.0629,171
2.73436,13712,6.3293,172
2.52713,15886,10.6884,173
2.45305,2162,0.22904,174
3.52118,5360,5.46042,175
3.85054,2402,0.77792,176
2.88849,2345,3.06046,177
3.38252,515,0.00159,178
2.7458,1251,1.7366,179
3.57837,8957,2.87854,180
1.97333,2831,2.22363,181
3.08686,708,0.12272,182
3.3624,625,0.11237,183
3.11343,335,0.00155,184
3.12515,25792,8.66848,185
2.87718,12693,8.30836,186
3.45417,960,0.00329,187
3.33656,2579,2.3269,188
3.00729,343,0.00327,189
3.57303,979,0.08958,190
2.68831,1779,2.69056,191
2.24428,8474,6.2507,193
3.84339,6267,2.09827,194
3.09532,3331,2.16503,195
2.83648,14588,10.7425,196
3.07522,113,0.00249,197
3.41643,9495,4.91992,198
3.77894,1572,2.17309,199
2.83238,349,0.00212,200
3.03272,382,1.61439,201
2.97917,408,2.94436,202
3.16195,5832,1.6264,203
2.94104,8888,4.43973,204
3.51316,1368,0.0041,205
3.4781,1050,0.00155,206
3.37402,5846,2.74994,207
2.85622,29010,8.63201,208
2.83073,768,0.8861,209
2.88086,491,0.9336,210
3.58908,595,0.0128,211
2.57609,460,1.79046,212
4.04467,1914,2.10042,213
4.04499,978,0.38772,214
3.84938,5640,6.76872,215
3.26174,9458,2.87477,216
2.73279,1046,1.31697,217
3.2887,4354,1.73817,218
3.61221,655,0.51731,219
2.41312,282,0.83821,220
3.53388,6243,0.95231,222
3.86869,24264,5.52493,223
3.43836,8915,11.632,224
3.29055,13170,5.73075,225
3.06899,4769,4.57919,227
2.68983,482,0.00642,228
3.56083,2466,4.43216,229
3.58023,7665,1.97505,230
2.94786,34928,22.1576,231
4.02776,6395,2.45883,232
3.52239,3550,0.67452,233
2.68287,3322,1.12838,234
3.66007,16977,5.80544,235
3.30701,13231,2.89431,236
3.22507,6669,1.57257,237
3.16939,856,0.11891,238
3.07526,3561,13.7629,239
2.90437,847,1.09521,240
3.02962,574,0.53306,241
3.38995,1104,0.26522,242
2.51728,463,0.00143,243
2.3661,295,0.00143,244
2.96538,260,0.01121,245
4.01612,11073,1.13285,246
3.82664,8070,1.98025,247
3.02054,3214,0.00215,248
3.67644,5101,0.89418,249
3,937,1.69055,250
3.04261,399,1.38297,251
3.21342,10690,1.44724,252
3.49369,28682,11.2481,253
2.88802,643,0.00222,254
2.28173,1111,0.00143,255
2.70096,11082,2.09693,256
3.4135,3867,5.36807,257
2.64815,1755,0.81438,258
3.07829,2031,1.59154,259
4.17762,61723,63.3099,260
3.59737,11626,2.12875,261
3.76604,4815,1.34298,262
3.73259,402,0.00492,263
3.32317,164,0.8708,264
3.92198,12477,4.06535,265
3.49639,16918,15.9805,266
2.90185,4274,5.72648,267
3.30691,738,0.71582,268
3.47858,607,0.00242,269
3.18114,1347,0.10404,270
3.33282,1289,2.53963,271
3.74221,8280,2.57537,272
3.12634,8192,3.62977,273
2.86788,1211,0.65508,274
2.7297,1589,1.55234,275
2.98671,5642,1.4887,276
3.39664,10850,2.6232,277
3.02348,1171,0.00167,278
3.696,949,0.00161,279
3.72138,5233,2.62888,280
3.66124,4025,1.63743,281
3.40177,12069,2.97426,282
3.09205,239,0.00442,283
2.01327,113,1.45296,286
3.23874,333,0.00165,287
3.2348,24444,6.95567,288
3.36029,3289,2.58647,289
3.9976,4169,3.18925,290
2.2899,683,2.23875,291
3.42415,27825,5.75645,292
4.05362,26986,22.4447,293
3.17558,860,0.00297,294
2.8023,478,0.00373,295
4.15815,74418,27.8339,296
3.10517,271,0.0023,297
3.512,250,0.10125,298
3.73087,2692,0.00239,299
3.66565,21280,2.36623,300
3.51349,482,0.0053,301
3.74314,1604,2.87355,302
3.03885,7555,5.79744,303
3.1908,739,0.1472,304
2.70569,3498,3.61934,305
4.06903,7946,6.90856,306
3.97638,7389,4.0237,307
3.90523,5619,3.24804,308
3.64086,465,0.00143,309
2.76265,257,0.01446,310
2.61813,1346,0.00196,312
3.06172,1280,3.75655,313
3.85084,4217,0.00455,314
2.90591,12196,8.26226,315
3.35775,34681,11.6327,316
3.14595,16759,6.15722,317
4.44491,70754,29.9424,318
3.75912,7863,1.9808,319
3.25307,326,0.00172,320
3.76053,950,0.00698,321
3.69622,3040,0.8835,322
3.69474,475,0.02336,324
2.65561,1070,1.65063,325
4.08357,1394,1.49548,326
2.80505,8184,1.32026,327
3.15839,2497,2.91101,328
3.3478,29030,4.86902,329
2.81107,1572,0.19664,330
3.28759,572,0.00152,331
2.76477,2132,1.56918,332
3.35322,12069,4.90361,333
3.82063,1653,0.96463,334
3.2642,405,0.80033,335
2.86364,308,0.00225,336
3.75176,18514,4.13157,337
2.99685,4765,6.46739,338
3.51302,24622,3.60047,339
3.37374,1493,0.56853,340
3.58498,406,0.00147,341
3.48467,13213,3.87633,342
2.66263,990,0.09638,343
2.98373,42598,9.52419,344
3.62446,11498,2.86006,345
3.43395,1143,1.01033,346
3.41215,1588,3.12788,347
3.68405,8397,3.41784,348
3.67276,33231,9.66389,349
3.46471,16421,1.47412,350
3.3102,3825,1.08104,351
3.25861,1365,0.02685,352
3.51125,16839,8.00724,353
3.15773,1249,0.0018,354
2.42688,11133,4.71767,355
4.03884,75018,33.0246,356
3.65149,28438,4.25407,357
3.25205,2313,0.15368,358
3.29078,282,0.00174,359
2.73528,2140,0.94047,360
3.3341,5250,5.56022,361
3.37663,8876,2.20609,362
3.99847,653,0.01445,363
3.78416,40320,20.7453,364
3.17026,1900,3.17996,365
2.96224,2701,5.14427,366
3.17896,35147,33.4262,367
3.4015,17808,3.41547,368
3.31449,1132,0.25461,369
2.94804,15858,8.44382,370
3.25618,4372,2.1296,371
3.25878,8913,3.67867,372
3.77834,3573,0.88802,373
2.44575,5585,4.15225,374
3.27586,261,0.00204,375
3.29334,12944,4.37169,376
3.49739,42644,11.7147,377
3.12957,2381,0.03307,378
2.71709,6115,6.22726,379
3.50118,48002,13.11,380
3.40996,5542,1.88753,381
3.04614,5830,4.57917,382
3.20036,5323,5.29949,383
2.98683,797,0.62967,384
3.55639,133,0.00276,385
2.82385,369,0.3711,386
2.66875,720,0.48327,387
3.56074,568,0.00168,388
3.49029,206,0.00296,389
3.41887,832,0.96021,390
3.16551,432,1.07926,391
3.29286,280,0.00143,392
1.90878,2198,7.02203,393
3.33571,140,0.3164,394
2.45392,3733,3.70222,405
3.14437,1846,5.22379,407
3.23362,687,0.75989,408
3.02747,455,1.00034,409
2.99254,19511,5.36867,410
2.80603,116,0.58786,411
3.55577,4671,0.82571,412
2.81098,6748,2.18678,413
2.62472,890,1.71233,414
2.81867,3262,3.58367,415
2.7105,1810,0.93926,416
3.51878,3355,0.20231,417
2.70655,702,0.29259,418
2.49832,5047,2.45264,419
2.75558,15807,7.88582,420
3.30114,1838,2.0786,421
3.23219,1432,0.77059,422
3.00999,2353,4.27901,423
2.71326,769,1.07079,424
3.47377,896,1.54151,425
3.11695,3386,2.25806,426
2.54209,3481,0.21797,427
3.81619,5329,4.70478,428
2.35785,1523,0.00716,429
2.29596,272,0.00215,430
3.68673,9950,5.09887,431
2.72457,13693,1.89889,432
2.92091,1258,0.00264,433
3.07243,26852,5.28366,434
2.57904,14777,3.44047,435
2.61557,1272,9.46479,436
2.71097,1076,0.83526,438
3.6047,19598,0.97585,440
3.67581,8973,2.68031,441
3.03018,19150,9.78178,442
3.33663,606,0.00143,443
2.42678,1318,0.09433,444
2.88735,1953,4.77105,445
3.89141,3877,2.1173,446
2.51549,226,0.03656,447
3.55541,3068,1.36364,448
3.47845,696,0.00168,449
3.36072,3019,0.64679,450
3.0571,648,1.443,451
3.56465,1222,0.00321,452
3.10733,955,5.87764,453
3.50121,26538,4.89659,454
2.60811,9379,5.3424,455
3.82791,953,0.56682,456
3.99146,53295,18.3328,457
3.15288,1076,2.59264,458
2.78179,1148,2.14704,459
2.43683,934,1.76277,460
3.35147,919,0.00216,461
2.62621,206,0.38711,462
2.81235,421,3.36073,463
2.92522,3216,8.97203,464
3.27322,743,1.59435,465
2.905,14632,8.12845,466
3.43625,800,0.00612,467
3.31268,7957,6.27854,468
3.28506,1319,1.582,469
2.15283,494,0.70591,470
3.65554,11814,2.00491,471
2.88195,737,0.48943,472
2.3215,1409,1.08734,473
3.72858,19225,6.89552,474
3.90692,9911,3.53633,475
3.00633,237,0.00178,476
3.54841,4689,1.94387,477
2.43158,285,0.00311,478
2.92345,1241,3.06494,479
3.65475,66348,19.8201,480
3.34166,5864,6.25775,481
3.43232,2785,2.07064,482
3.78347,605,1.01673,483
2.78322,745,1.15281,484
2.76827,14597,18.3527,485
2.68941,623,0.80406,486
2.6112,634,0.7381,487
3.41395,552,0.29348,488
2.76871,3113,0.78468,489
3.35248,3264,1.99146,490
3.40313,5776,1.98167,491
3.65644,3209,4.91535,492
3.61074,3892,5.69726,493
3.37868,14120,7.4635,494
3.45095,683,3.17759,495
3.29257,417,0.00164,496
3.87563,14972,7.93517,497
2.80682,396,0.63437,498
2.76562,416,0.00617,499
3.39168,35276,12.9599,500
3.83495,1954,1.91002,501
2.32537,4123,7.29243,502
3.09929,141,0.00172,503
2.97543,1160,2.80878,504
2.53255,1321,1.98917,505
3.49015,1371,0.78203,506
3.51396,3331,3.24504,507
3.81413,20291,3.76608,508
3.68956,17944,7.25755,509
2.74972,909,0.00961,510
3.14682,1696,0.25347,511
2.91779,1259,2.24222,512
2.94082,583,0.00402,513
3.45481,4780,2.85856,514
3.90018,11205,1.82734,515
3.08533,3498,0.68346,516
3.13701,3529,5.53266,517
2.69378,1254,0.57112,518
2.24528,5557,5.9691,519
3.04446,15892,8.59784,520
3.32822,2218,1.92935,521
3.55724,1284,1.9772,522
3.64803,939,0.00293,523
3.51459,8909,1.2841,524
3.38418,177,0.00168,525
3.15299,134,0.34721,526
4.3031,55613,18.5392,527
2.79176,934,0.0045,528
3.8355,11459,1.69224,529
3.50051,8896,4.06225,531
3.05806,6252,3.32281,532
2.92665,3947,2.03194,533
3.89131,4996,0.8427,534
3.77206,5756,2.74584,535
3.27945,764,0.80831,536
3.16258,3503,1.09175,537
3.70512,5297,1.40371,538
3.52134,29549,6.71334,539
2.72613,5205,3.06964,540
4.13428,31609,17.5422,541
2.87408,3681,0.86637,542
3.21278,14045,3.51656,543
2.92838,2206,1.9236,544
2.09157,6072,7.38052,546
2.8259,830,1.36067,547
2.90904,2897,0.66712,548
3.89417,1474,0.00149,549
3.08411,3424,0.83716,550
3.73164,20987,18.1185,551
3.19465,14539,3.83757,552
3.69199,15787,5.06757,553
3.08802,534,0.00378,554
3.80105,15994,9.76786,555
3.97186,1244,0.00172,556
2.78699,1514,3.60664,558
3.44541,229,0.00359,561
3.76509,6811,0.48791,562
3.44051,353,0.10227,563
2.33432,338,1.85967,564
3.18436,716,0.87828,565
2.79739,153,0.00152,566
3.36483,381,1.00215,567
3.55457,394,0.00225,568
2.94545,1705,0.00408,569
3.46637,223,0.13823,570
3.61611,211,0.00144,571
3.44131,213,0.00001,573
3.30518,1409,0.00428,574
3.04225,2852,3.64068,575
2.82886,634,0.00183,577
3.05219,594,0.00275,580
3.98675,1924,1.267,581
3.35145,138,0.00182,582
3.50581,258,0.01622,583
2.6148,10915,0.22253,585
3.09118,28992,0.75006,586
3.4485,30134,6.21767,587
3.67837,46436,21.6514,588
3.93228,54448,50.0049,589
3.7417,49945,9.60866,590
3.38265,51706,22.4734,592
4.16942,71490,4.95293,593
3.59526,18844,18.4,594
3.45194,14639,19.2133,596
3.42497,34813,17.9145,597
3.61824,148,0.8739,598
4.00123,3256,3.53024,599
2.99357,311,0.62118,600
3.39496,119,0.00181,601
3.99859,354,0.00211,602
2.95779,616,0.02544,603
3.31253,3662,5.79043,605
2.57502,1553,1.94794,606
4.10833,46451,10.9676,608
3.02767,2747,1.1267,609
3.37681,8442,8.45589,610
2.5276,1830,7.70506,611
2.73807,1655,1.08037,612
3.64382,2830,0.04273,613
3.1131,168,0.00215,614
3.86115,659,0.00405,615
3.36773,8989,16.783,616
3.59307,548,2.20201,617
2.75134,372,0.71924,618
2.64118,765,0.00383,619
3.60207,338,0.00428,621
2.9093,667,1.08777,626
3.54297,1885,1.81659,627
3.7518,12073,7.12324,628
3.34829,234,0.06207,630
2.76211,2539,2.56143,631
3.94444,360,0.34925,632
3.39049,347,0.02559,633
2.32286,350,0.00266,634
3.64688,1137,0.01386,635
2.84868,6764,1.81483,637
3.28856,603,0.9881,638
2.93434,1188,0.00222,639
2.98097,3336,1.44782,640
3.63492,315,3.15243,645
3.53742,8444,5.69333,647
3.39429,41398,27.2373,648
3.7234,141,0.24101,649
3.46373,1475,0.18862,650
3.22027,15858,7.21532,653
2.89709,1239,0.73692,656
3.69395,446,3.85528,659
2.98496,133,0.0052,660
3.29202,12061,6.76726,661
3.26067,2977,3.04676,662
3.36592,3442,0.00233,663
3.05015,329,0.00219,664
3.96821,1211,2.8475,665
3.47093,172,2.13284,666
2.57293,1138,1.61197,667
4.12326,791,0.11286,668
4.1234,782,0.26298,670
3.65584,7190,0.60305,671
2.73043,11214,16.4574,673
2.9708,3390,3.38741,674
4.08756,2741,0.0015,678
3.54887,1146,3.34688,680
3.58237,346,0.33096,681
3.52513,557,0.39098,685
2.9951,102,0.00144,687
2.5965,3057,1.91239,688
3.0556,1223,0.48742,691
2.34615,936,0.0911,692
3.01889,2858,1.69725,694
3.19007,876,0.19824,695
3.16,125,0.00166,696
2.78956,1169,1.67957,697
2.82792,154,0.00539,698
3.25214,1283,0.02963,700
3.19712,104,0.00336,701
3.74801,377,0.08901,702
2.8874,373,0.02795,703
2.85145,1868,2.42818,704
3.49548,442,0.00315,705
3.12885,260,0.12695,706
3.07788,4847,1.38493,707
3.40875,16510,0.12777,708
3.30057,2808,12.3931,709
2.75213,1291,0.48782,710
2.68998,2466,3.12543,711
3.50532,188,0.00168,712
3.47241,145,0.50657,713
3.90442,3458,6.0009,714
3.55354,635,1.3523,715
2.93671,316,0.84302,716
3.42448,960,6.03757,718
2.95367,8817,4.08891,719
3.60803,361,0.00146,722
3.06472,9927,4.73186,724
2.80788,1611,1.05356,725
3.13102,561,1.08112,726
3.81763,3704,0.00299,728
3.40187,107,0.0041,729
2.92914,875,1.30232,731
2.79283,251,0.00201,732
3.69771,34247,18.4017,733
3.5087,1149,0.69361,735
3.22621,36619,5.56841,736
2.13335,4848,5.55148,737
3.94655,7287,15.3722,741
2.7465,1931,3.73581,742
2.74883,7254,2.08335,743
4.15715,12615,3.8438,745
3.74691,324,0.0969,746
2.35634,1152,1.20099,747
3.17481,5463,6.99646,748
4.23509,24474,17.4305,750
3.49062,160,0.10125,751
3.29905,525,0.00152,753
2.92308,377,0.07653,754
3.375,156,0.00215,755
3.16667,123,0.00588,756
3.63319,229,1.57596,757
3.86053,380,0.0015,759
3.65671,954,3.70527,760
2.83358,3981,2.12372,761
2.42439,11169,4.97097,762
3.37229,599,0.06198,764
3.07158,5574,3.78473,765
3.46455,1862,0.78831,766
3.53492,315,0.00327,767
3.38554,166,0.00001,771
2.93403,144,1.96612,775
4.01295,24830,13.825,778
2.86051,552,0.00369,779
3.39699,52613,21.0522,780
3.4315,2073,2.91775,781
2.88277,2862,2.88619,782
3.23951,12125,16.091,783
2.69922,15952,3.70088,784
3.28149,12029,7.70143,785
3.17832,18147,6.41965,786
2.90382,20322,5.99836,788
3.52193,114,0.01257,790
3.25806,124,0.00143,793
3.36239,109,0.00225,794
3.21491,114,0.01998,795
3.3875,120,0.3375,797
2.83396,3195,6.2702,798
3.36511,6761,3.47367,799
4.07302,7423,2.08074,800
3.03003,1765,0.31922,801
3.48609,13624,5.89375,802
3.57023,598,0.0015,803
3.08751,2314,1.75905,804
3.69595,13246,6.2248,805
3.16609,581,0.32424,806
3.27626,219,0.00165,807
3.22579,857,0.02781,808
2.86646,1419,1.34606,809
1.8582,2024,0.6961,810
2.77197,478,0.0775,813
2.61959,3027,1.00772,818
3.2783,106,0.58398,823
3.80732,410,0.00218,824
3.11818,165,0.00592,827
3.18571,1672,1.4358,828
2.6873,1890,0.85898,829
3.08683,7837,3.71544,830
3.51991,226,0.01458,831
3.45927,15725,7.5637,832
2.71804,1502,1.66328,833
2.62796,211,0.00151,834
3.19611,1002,1.64991,835
2.92073,5368,6.51382,836
3.43861,5954,9.36194,837
3.75946,8907,3.11549,838
2.79842,4569,3.15219,839
2.70597,704,2.633,840
3.68802,484,1.70205,841
2.77439,2081,3.81802,842
3.75691,181,0.00216,844
3.4927,411,0.00494,846
2.9125,120,0.00189,847
3.66737,2142,0.00953,848
2.75982,9370,4.94552,849
3.53269,260,0.0414,850
3.503,1667,1.59004,851
3.18227,11645,2.3031,852
3.29832,119,0.00641,853
3.69773,220,0.00845,854
4.35664,46077,29.8444,858
3.53927,382,1.2873,860
3.44629,2616,4.84756,861
3.59892,369,0.00183,862
3.31429,105,0.00192,865
3.71842,6508,5.98934,866
2.3596,349,0.71049,867
3.09536,582,0.52227,869
2.2624,484,0.65458,870
2.71101,327,0.57312,876
3.15143,175,0.0057,877
2.81914,2278,1.50124,879
2.50237,5907,3.19059,880
2.84162,1146,1.41209,881
3.0036,833,0.734,882
2.67281,651,0.04188,885
3.08167,1751,3.52542,886
2.31406,761,4.30284,888
3.37984,129,0.00168,889
2.61391,2142,2.45999,891
3.72963,1424,0.00698,892
3.66137,598,0.01991,893
3.68651,504,0.01781,896
3.65463,928,3.40087,897
4.12371,7372,2.86983,898
4.04085,11310,6.79037,899
3.7988,3171,3.16116,900
3.62102,1603,1.47866,901
3.83564,11277,5.62635,902
4.13732,15213,9.27808,903
4.2564,18502,14.4182,904
4.15839,4328,5.87742,905
4.03453,2114,1.16136,906
3.91186,919,0.01733,907
4.22512,17282,10.1253,908
4.02739,5512,5.62716,909
4.04735,12249,9.40112,910
4.05796,4227,3.2501,911
4.24292,26729,10.9152,912
4.14938,13412,4.49124,913
3.87065,11194,8.85211,914
3.87173,5664,4.54279,915
4.07683,6521,5.16578,916
3.61538,1183,1.43855,917
3.73856,1901,3.12904,918
3.97593,24258,16.5661,919
3.82563,16740,8.46271,920
3.78881,2467,0.00005,921
4.23286,7047,5.2765,922
4.11964,18844,9.15854,923
3.95743,26166,35.6109,924
4.19329,5008,9.38001,926
3.95444,900,0.96789,927
4.10077,4907,7.25587,928
3.85513,956,0.44534,929
4.18903,5113,5.47469,930
3.91208,2326,3.385,931
3.83114,2203,2.51051,932
4.02397,4860,6.90494,933
3.4605,4759,0.32787,934
3.76019,638,2.31846,935
4.01075,1442,1.64544,936
3.67157,510,1.3641,937
3.60942,1773,2.70729,938
3.30097,103,0.00243,939
3.86601,4157,5.43871,940
3.56404,1015,1.03656,941
4.10586,2730,1.97806,942
3.80677,1744,0.04234,943
3.82464,1112,0.94867,944
4.05741,2160,0.33186,945
3.95385,1441,1.45308,946
4.06159,1794,0.75845,947
3.74352,1735,2.72313,948
3.917,2235,3.78339,949
4.17115,3456,0.38187,950
4.13726,4047,2.80716,951
3.47908,2701,4.7141,952
4.03827,15363,5.89438,953
3.99511,6335,4.22922,954
4.04952,4594,4.6476,955
3.48123,373,0.96262,956
3.23228,254,0.00416,957
3.71571,401,0.14081,959
3.49709,172,0.00247,960
3.38202,267,0.03578,961
3.40566,106,0.00261,962
3.54399,557,0.00353,963
3.38952,353,0.14062,964
3.99495,3763,4.13444,965
3.47015,134,0.00175,966
2.77381,168,0.15371,967
3.60567,8962,10.0179,968
4.08063,11205,4.07504,969
3.53662,396,1.96641,970
3.9435,2991,4.56144,971
3.16797,128,0.00626,972
3.84044,962,0.79115,973
3.39161,143,0.00267,974
3.52323,452,0.03353,976
3.10305,131,0.00241,980
2.63478,230,0.0293,981
3.65698,602,0.53243,982
2.69592,245,0.0049,984
3.51072,3219,3.60966,986
3.20833,288,0.00235,987
3.34467,544,1.11098,988
2.73536,939,2.77879,990
3.57316,2604,2.54221,991
2.7381,273,1.42493,992
3.49597,248,0.21473,993
4.00402,5477,0.21646,994
3.0076,3422,5.21891,996
3.53509,228,0.00225,997
3.21803,821,6.09589,998
3.28979,3211,7.52232,999
3.09091,209,1.40498,1000
3.14333,1671,1.30643,1003
2.69197,1607,2.91967,1004
2.50369,2305,2.31589,1005
3.26253,1596,1.11329,1006
2.94444,1854,0.865,1007
3.31829,809,0.1898,1008
3.13987,2699,0.41816,1009
3.07226,2657,3.75499,1010
2.7486,1607,4.33805,1011
3.55436,3707,0.91892,1012
3.40306,5034,2.89681,1013
3.36699,1654,1.42916,1014
3.26576,3919,4.89292,1015
3.12782,1506,0.98421,1016
3.50354,3533,2.30861,1017
3.06215,1263,1.43569,1018
3.51649,7097,7.99854,1019
3.24728,7346,5.9843,1020
2.84311,3904,0.69762,1021
3.55137,10015,21.793,1022
3.75332,3393,0.00323,1023
3.17188,1120,1.63196,1024
3.55238,5909,8.3723,1025
3.1626,123,0.0033,1026
3.28052,8527,15.7433,1027
3.71958,14801,15.5584,1028
3.4586,9951,14.8831,1029
3.08705,3366,3.77799,1030
3.32771,4684,5.12122,1031
3.61878,8596,15.0503,1032
3.43718,4322,13.69,1033
3.54167,1548,1.71065,1034
3.80463,14782,8.9761,1035
3.93341,31611,22.5611,1036
2.73379,7528,6.10194,1037
3.21488,242,0.68927,1038
3.375,160,0.91872,1040
4.05079,5887,1.83418,1041
3.43429,9351,2.56045,1042
3.01484,1247,0.61263,1043
3.33556,523,0.00366,1044
3.98446,1351,1.38748,1046
3.42472,9358,5.60724,1047
3.41076,5407,4.87367,1049
3.76904,1773,0.13649,1050
3.56977,1376,0.04755,1051
3.05046,218,0.00468,1053
3.48756,804,0.04526,1054
2.77746,355,0.01331,1055
3.45687,742,0.04638,1056
3.43033,3617,5.76246,1057
3.29197,137,0.0016,1058
3.57465,11253,13.0897,1059
3.84317,10352,2.91608,1060
3.62472,9922,9.23298,1061
3.3323,161,0.0015,1063
3.10487,3285,13.4621,1064
3.96397,1471,0.00984,1066
3.39726,146,0.00223,1067
3.66374,342,0.46229,1068
3.94452,784,1.59629,1069
3.69983,31012,7.81164,1073
3.48252,143,0.07408,1075
3.82405,449,3.10274,1076
3.84709,7364,4.50291,1077
3.7343,3694,2.53759,1078
3.84386,20264,3.68873,1079
3.97513,21857,9.52944,1080
3.51221,4055,1.63346,1081
3.64256,1908,0.09068,1082
3.4517,1584,1.80364,1083
3.86015,10443,3.54865,1084
3.64892,1343,0.25158,1085
4.02745,5975,9.30669,1086
3.43345,293,0.00144,1087
3.21784,12174,10.536,1088
4.08884,28710,24.8808,1089
3.91377,16567,12.8365,1090
2.79569,5849,4.3789,1091
3.34627,12083,8.42858,1092
3.36029,8886,1.6929,1093
3.64127,13212,1.42637,1094
3.85809,6356,3.21878,1095
3.91868,3929,2.6079,1096
3.76175,35442,26.7645,1097
3.05882,136,0.00169,1098
3.81954,2272,1.58967,1099
2.85414,5992,9.39931,1100
3.41215,21389,16.3443,1101
3.79679,6781,2.83571,1103
3.96169,7321,4.69421,1104
2.35086,989,0.50531,1105
3.96755,1849,0.67455,1111
3.40278,396,0.00198,1112
3.19206,1096,3.92514,1113
3.22123,504,0.74279,1114
3.37574,169,0.06526,1116
3.65678,236,0.87773,1117
3.15946,185,0.00764,1119
3.55558,9895,11.3974,1120
