@relation mp_clean


@attribute rate_ave numeric

@attribute rate_cnt numeric

@attribute popularity numeric


@data
3.83495,1954,1.91002
2.32537,4123,7.29243
3.09929,141,0.00172
2.97543,1160,2.80878
2.53255,1321,1.98917
3.49015,1371,0.78203
3.51396,3331,3.24504
3.81413,20291,3.76608
3.68956,17944,7.25755
2.74972,909,0.00961
3.14682,1696,0.25347
2.91779,1259,2.24222
2.94082,583,0.00402
3.45481,4780,2.85856
3.90018,11205,1.82734
3.08533,3498,0.68346
3.13701,3529,5.53266
2.69378,1254,0.57112
2.24528,5557,5.9691
3.04446,15892,8.59784
3.32822,2218,1.92935
3.55724,1284,1.9772
3.64803,939,0.00293
3.51459,8909,1.2841
3.38418,177,0.00168
3.15299,134,0.34721
4.3031,55613,18.5392
2.79176,934,0.0045
3.8355,11459,1.69224
3.50051,8896,4.06225
3.05806,6252,3.32281
2.92665,3947,2.03194
3.89131,4996,0.8427
3.77206,5756,2.74584
3.27945,764,0.80831
3.16258,3503,1.09175
3.70512,5297,1.40371
3.52134,29549,6.71334
2.72613,5205,3.06964
4.13428,31609,17.5422
2.87408,3681,0.86637
3.21278,14045,3.51656
2.92838,2206,1.9236
2.09157,6072,7.38052
2.8259,830,1.36067
2.90904,2897,0.66712
3.89417,1474,0.00149
3.08411,3424,0.83716
3.73164,20987,18.1185
3.19465,14539,3.83757
3.69199,15787,5.06757
3.08802,534,0.00378
3.80105,15994,9.76786
3.97186,1244,0.00172
2.78699,1514,3.60664
3.44541,229,0.00359
3.76509,6811,0.48791
3.44051,353,0.10227
2.33432,338,1.85967
3.18436,716,0.87828
2.79739,153,0.00152
3.36483,381,1.00215
3.55457,394,0.00225
2.94545,1705,0.00408
3.46637,223,0.13823
3.61611,211,0.00144
3.44131,213,0.00001
3.30518,1409,0.00428
3.04225,2852,3.64068
2.82886,634,0.00183
3.05219,594,0.00275
3.98675,1924,1.267
3.35145,138,0.00182
3.50581,258,0.01622
2.6148,10915,0.22253
3.09118,28992,0.75006
3.4485,30134,6.21767
3.67837,46436,21.6514
3.93228,54448,50.0049
3.7417,49945,9.60866
3.38265,51706,22.4734
4.16942,71490,4.95293
3.59526,18844,18.4
3.45194,14639,19.2133
3.42497,34813,17.9145
3.61824,148,0.8739
4.00123,3256,3.53024
2.99357,311,0.62118
3.39496,119,0.00181
3.99859,354,0.00211
2.95779,616,0.02544
3.31253,3662,5.79043
2.57502,1553,1.94794
4.10833,46451,10.9676
3.02767,2747,1.1267
3.37681,8442,8.45589
2.5276,1830,7.70506
2.73807,1655,1.08037
3.64382,2830,0.04273
3.1131,168,0.00215
3.86115,659,0.00405
3.36773,8989,16.783
3.59307,548,2.20201
2.75134,372,0.71924
2.64118,765,0.00383
3.60207,338,0.00428
2.9093,667,1.08777
3.54297,1885,1.81659
3.7518,12073,7.12324
3.34829,234,0.06207
2.76211,2539,2.56143
3.94444,360,0.34925
3.39049,347,0.02559
2.32286,350,0.00266
3.64688,1137,0.01386
2.84868,6764,1.81483
3.28856,603,0.9881
2.93434,1188,0.00222
2.98097,3336,1.44782
3.63492,315,3.15243
3.53742,8444,5.69333
3.39429,41398,27.2373
3.7234,141,0.24101
3.46373,1475,0.18862
3.22027,15858,7.21532
2.89709,1239,0.73692
3.69395,446,3.85528
2.98496,133,0.0052
3.29202,12061,6.76726
3.26067,2977,3.04676
3.36592,3442,0.00233
3.05015,329,0.00219
3.96821,1211,2.8475
3.47093,172,2.13284
2.57293,1138,1.61197
4.12326,791,0.11286
4.1234,782,0.26298
3.65584,7190,0.60305
2.73043,11214,16.4574
2.9708,3390,3.38741
4.08756,2741,0.0015
3.54887,1146,3.34688
3.58237,346,0.33096
3.52513,557,0.39098
2.9951,102,0.00144
2.5965,3057,1.91239
3.0556,1223,0.48742
2.34615,936,0.0911
3.01889,2858,1.69725
3.19007,876,0.19824
3.16,125,0.00166
2.78956,1169,1.67957
2.82792,154,0.00539
3.25214,1283,0.02963
3.19712,104,0.00336
3.74801,377,0.08901
2.8874,373,0.02795
2.85145,1868,2.42818
3.49548,442,0.00315
3.12885,260,0.12695
3.07788,4847,1.38493
3.40875,16510,0.12777
3.30057,2808,12.3931
2.75213,1291,0.48782
2.68998,2466,3.12543
3.50532,188,0.00168
3.47241,145,0.50657
3.90442,3458,6.0009
3.55354,635,1.3523
2.93671,316,0.84302
3.42448,960,6.03757
2.95367,8817,4.08891
3.60803,361,0.00146
3.06472,9927,4.73186
2.80788,1611,1.05356
3.13102,561,1.08112
3.81763,3704,0.00299
3.40187,107,0.0041
2.92914,875,1.30232
2.79283,251,0.00201
3.69771,34247,18.4017
3.5087,1149,0.69361
3.22621,36619,5.56841
2.13335,4848,5.55148
3.94655,7287,15.3722
2.7465,1931,3.73581
2.74883,7254,2.08335
4.15715,12615,3.8438
3.74691,324,0.0969
2.35634,1152,1.20099
3.17481,5463,6.99646
4.23509,24474,17.4305
3.49062,160,0.10125
3.29905,525,0.00152
2.92308,377,0.07653
3.375,156,0.00215
3.16667,123,0.00588
3.63319,229,1.57596
3.86053,380,0.0015
3.65671,954,3.70527
2.83358,3981,2.12372
2.42439,11169,4.97097
3.37229,599,0.06198
3.07158,5574,3.78473
3.46455,1862,0.78831
3.53492,315,0.00327
3.38554,166,0.00001
2.93403,144,1.96612
4.01295,24830,13.825
2.86051,552,0.00369
3.39699,52613,21.0522
3.4315,2073,2.91775
2.88277,2862,2.88619
3.23951,12125,16.091
2.69922,15952,3.70088
3.28149,12029,7.70143
3.17832,18147,6.41965
2.90382,20322,5.99836
3.52193,114,0.01257
3.25806,124,0.00143
3.36239,109,0.00225
3.21491,114,0.01998
3.3875,120,0.3375
2.83396,3195,6.2702
3.36511,6761,3.47367
4.07302,7423,2.08074
3.03003,1765,0.31922
3.48609,13624,5.89375
3.57023,598,0.0015
3.08751,2314,1.75905
3.69595,13246,6.2248
3.16609,581,0.32424
3.27626,219,0.00165
3.22579,857,0.02781
2.86646,1419,1.34606
1.8582,2024,0.6961
2.77197,478,0.0775
2.61959,3027,1.00772
3.2783,106,0.58398
3.80732,410,0.00218
3.11818,165,0.00592
3.18571,1672,1.4358
2.6873,1890,0.85898
3.08683,7837,3.71544
3.51991,226,0.01458
3.45927,15725,7.5637
2.71804,1502,1.66328
2.62796,211,0.00151
3.19611,1002,1.64991
2.92073,5368,6.51382
3.43861,5954,9.36194
3.75946,8907,3.11549
2.79842,4569,3.15219
2.70597,704,2.633
3.68802,484,1.70205
2.77439,2081,3.81802
3.75691,181,0.00216
3.4927,411,0.00494
2.9125,120,0.00189
3.66737,2142,0.00953
2.75982,9370,4.94552
3.53269,260,0.0414
3.503,1667,1.59004
3.18227,11645,2.3031
3.29832,119,0.00641
3.69773,220,0.00845
4.35664,46077,29.8444
3.53927,382,1.2873
3.44629,2616,4.84756
3.59892,369,0.00183
3.31429,105,0.00192
3.71842,6508,5.98934
2.3596,349,0.71049
3.09536,582,0.52227
2.2624,484,0.65458
2.71101,327,0.57312
3.15143,175,0.0057
2.81914,2278,1.50124
2.50237,5907,3.19059
2.84162,1146,1.41209
3.0036,833,0.734
2.67281,651,0.04188
3.08167,1751,3.52542
2.31406,761,4.30284
3.37984,129,0.00168
2.61391,2142,2.45999
3.72963,1424,0.00698
3.66137,598,0.01991
3.68651,504,0.01781
3.65463,928,3.40087
4.12371,7372,2.86983
4.04085,11310,6.79037
3.7988,3171,3.16116
3.62102,1603,1.47866
3.83564,11277,5.62635
4.13732,15213,9.27808
4.2564,18502,14.4182
4.15839,4328,5.87742
4.03453,2114,1.16136
3.91186,919,0.01733
4.22512,17282,10.1253
4.02739,5512,5.62716
4.04735,12249,9.40112
4.05796,4227,3.2501
4.24292,26729,10.9152
4.14938,13412,4.49124
3.87065,11194,8.85211
3.87173,5664,4.54279
4.07683,6521,5.16578
3.61538,1183,1.43855
3.73856,1901,3.12904
3.97593,24258,16.5661
3.82563,16740,8.46271
3.78881,2467,0.00005
4.23286,7047,5.2765
4.11964,18844,9.15854
3.95743,26166,35.6109
4.19329,5008,9.38001
3.95444,900,0.96789
4.10077,4907,7.25587
3.85513,956,0.44534
4.18903,5113,5.47469
3.91208,2326,3.385
3.83114,2203,2.51051
4.02397,4860,6.90494
3.4605,4759,0.32787
3.76019,638,2.31846
4.01075,1442,1.64544
3.67157,510,1.3641
3.60942,1773,2.70729
3.30097,103,0.00243
3.86601,4157,5.43871
3.56404,1015,1.03656
4.10586,2730,1.97806
3.80677,1744,0.04234
3.82464,1112,0.94867
4.05741,2160,0.33186
3.95385,1441,1.45308
4.06159,1794,0.75845
3.74352,1735,2.72313
3.917,2235,3.78339
4.17115,3456,0.38187
4.13726,4047,2.80716
3.47908,2701,4.7141
4.03827,15363,5.89438
3.99511,6335,4.22922
4.04952,4594,4.6476
3.48123,373,0.96262
3.23228,254,0.00416
3.71571,401,0.14081
3.49709,172,0.00247
3.38202,267,0.03578
3.40566,106,0.00261
3.54399,557,0.00353
3.38952,353,0.14062
3.99495,3763,4.13444
3.47015,134,0.00175
2.77381,168,0.15371
3.60567,8962,10.0179
4.08063,11205,4.07504
3.53662,396,1.96641
3.9435,2991,4.56144
3.16797,128,0.00626
3.84044,962,0.79115
3.39161,143,0.00267
3.52323,452,0.03353
3.10305,131,0.00241
2.63478,230,0.0293
3.65698,602,0.53243
2.69592,245,0.0049
3.51072,3219,3.60966
3.20833,288,0.00235
3.34467,544,1.11098
2.73536,939,2.77879
3.57316,2604,2.54221
2.7381,273,1.42493
3.49597,248,0.21473
4.00402,5477,0.21646
3.0076,3422,5.21891
3.53509,228,0.00225
3.21803,821,6.09589
3.28979,3211,7.52232
3.09091,209,1.40498
3.14333,1671,1.30643
2.69197,1607,2.91967
2.50369,2305,2.31589
3.26253,1596,1.11329
2.94444,1854,0.865
3.31829,809,0.1898
3.13987,2699,0.41816
3.07226,2657,3.75499
2.7486,1607,4.33805
3.55436,3707,0.91892
3.40306,5034,2.89681
3.36699,1654,1.42916
3.26576,3919,4.89292
3.12782,1506,0.98421
3.50354,3533,2.30861
3.06215,1263,1.43569
3.51649,7097,7.99854
3.24728,7346,5.9843
2.84311,3904,0.69762
3.55137,10015,21.793
3.75332,3393,0.00323
3.17188,1120,1.63196
3.55238,5909,8.3723
3.1626,123,0.0033
3.28052,8527,15.7433
3.71958,14801,15.5584
3.4586,9951,14.8831
3.08705,3366,3.77799
3.32771,4684,5.12122
3.61878,8596,15.0503
3.43718,4322,13.69
3.54167,1548,1.71065
3.80463,14782,8.9761
3.93341,31611,22.5611
2.73379,7528,6.10194
3.21488,242,0.68927
3.375,160,0.91872
4.05079,5887,1.83418
3.43429,9351,2.56045
3.01484,1247,0.61263
3.33556,523,0.00366
3.98446,1351,1.38748
3.42472,9358,5.60724
3.41076,5407,4.87367
3.76904,1773,0.13649
3.56977,1376,0.04755
3.05046,218,0.00468
3.48756,804,0.04526
2.77746,355,0.01331
3.45687,742,0.04638
3.43033,3617,5.76246
3.29197,137,0.0016
3.57465,11253,13.0897
3.84317,10352,2.91608
3.62472,9922,9.23298
3.3323,161,0.0015
3.10487,3285,13.4621
3.96397,1471,0.00984
3.39726,146,0.00223
3.66374,342,0.46229
3.94452,784,1.59629
3.69983,31012,7.81164
3.48252,143,0.07408
3.82405,449,3.10274
3.84709,7364,4.50291
3.7343,3694,2.53759
3.84386,20264,3.68873
3.97513,21857,9.52944
3.51221,4055,1.63346
3.64256,1908,0.09068
3.4517,1584,1.80364
3.86015,10443,3.54865
3.64892,1343,0.25158
4.02745,5975,9.30669
3.43345,293,0.00144
3.21784,12174,10.536
4.08884,28710,24.8808
3.91377,16567,12.8365
2.79569,5849,4.3789
3.34627,12083,8.42858
3.36029,8886,1.6929
3.64127,13212,1.42637
3.85809,6356,3.21878
3.91868,3929,2.6079
3.76175,35442,26.7645
3.05882,136,0.00169
3.81954,2272,1.58967
2.85414,5992,9.39931
3.41215,21389,16.3443
3.79679,6781,2.83571
3.96169,7321,4.69421
2.35086,989,0.50531
3.96755,1849,0.67455
3.40278,396,0.00198
3.19206,1096,3.92514
3.22123,504,0.74279
3.37574,169,0.06526
3.65678,236,0.87773
3.15946,185,0.00764
3.55558,9895,11.3974
2.86885,122,1.42471
3.59579,214,0.00143
3.69195,4931,2.38417
3.61236,6021,1.27094
2.67335,3369,1.468
3.65931,17833,9.17529
2.99684,1740,3.97328
3.36092,9631,4.76858
3.20203,1975,3.27294
4.131,3355,3.87007
4.07861,3123,2.06503
3.09667,4148,2.06449
4.1699,34137,14.6593
3.69143,175,0.00145
4.14753,3884,0.21306
4.16867,15839,5.71875
3.89007,1692,0.00012
3.67801,382,0.06174
3.46491,171,0.00239
3.23667,150,0.05007
3.33621,116,0.00301
3.80137,1528,3.26714
3.79093,794,0.00021
3.3745,251,0.00201
3.46364,165,0.40909
2.95172,901,0.10023
2.4976,208,0.00411
3.84909,328,0
2.06897,174,1.68978
3.70771,3387,1.13691
4.13251,10271,6.24828
3.42808,3038,5.86851
3.97182,7524,4.4542
3.89487,1774,3.62643
3.85744,1894,0.28711
4.21743,3700,3.85799
3.71857,6952,2.50738
3.78079,479,0.00021
3.04545,110,0.00144
3.64684,17039,5.85587
3.7538,1052,1.0908
3.88151,6283,3.12987
3.51295,8420,2.95989
3.66255,1215,0.03499
3.79976,8435,1.27835
4.11453,2794,1.233
3.50918,1580,2.47468
2.88758,1659,0.01892
3.91201,1091,0.00305
4.24733,33904,12.863
3.43184,2839,6.08273
4.17274,49403,39.982
4.16288,35194,7.53885
4.1971,47959,30.2364
4.02527,14545,7.67362
4.00527,28101,24.5604
4.11576,15325,19.5013
3.84128,1572,0.08664
4.13048,13665,10.7468
3.99021,25801,15.9564
4.17784,15593,7.07515
4.10453,24342,16.0705
4.11708,4659,8.06855
3.99245,53783,34.1245
4.02635,3814,1.79667
4.23107,6974,6.98393
4.18023,27962,18.1602
4.04137,31991,44.8164
3.70772,13357,11.9783
3.8506,1824,7.28146
4.1653,4982,4.83279
4.06112,2904,1.10926
4.07332,20437,13.2169
3.79939,20809,6.99964
4.2691,30165,15.6902
4.03401,22436,21.4257
4.0192,8567,3.57418
4.10493,4808,1.90558
4.06536,21450,10.6131
3.92262,2281,1.33698
3.9487,4454,12.2979
4.07401,10140,10.1897
4.05922,17165,6.34346
3.92455,8476,4.10734
4.02188,1805,4.05456
4.11075,14763,12.9539
4.15915,15950,8.9568
3.97726,9103,2.09397
4.03597,973,0.0009
4.09404,4397,4.719
3.96487,3274,1.00356
3.89692,34557,42.9433
3.72254,2658,5.33577
3.94318,13279,8.88309
3.92939,4277,0.23236
4.0357,9146,6.513
3.96393,6405,4.75217
3.8946,21533,11.83
4.0677,17754,6.02065
4.17606,4842,3.36001
3.8478,9951,8.4704
4.09272,13481,6.78677
4.04437,3234,5.44752
4.17876,16463,10.9583
3.89215,6815,4.71093
4.15291,5343,3.12286
3.45881,2015,3.8693
4.10858,5862,2.16852
3.83283,5665,1.41093
4.0078,24757,22.2128
3.99733,21523,10.4336
4.18394,4409,4.78702
3.74282,8566,14.2979
4.12327,11426,8.48342
3.97484,11287,8.94202
4.01223,2699,0.02001
3.86705,33047,18.8924
3.97993,14800,7.5302
4.10883,9634,2.80083
3.5037,3246,2.42216
4.0237,7363,3.0399
3.90841,46254,39.7017
3.72396,9899,5.68467
4.00783,8941,1.77482
4.02283,2738,2.45258
3.86404,8683,8.11262
3.59564,12097,7.85569
4.09063,12215,8.81193
3.78706,4344,1.09623
3.97166,16093,6.86791
3.8349,2450,4.41049
4.13601,3371,3.85787
4.05088,4078,10.3225
3.69671,13408,13.1102
4.06248,5186,5.33874
4.18812,5858,4.93923
3.73434,12117,3.21242
3.56244,2226,2.93899
3.79861,9936,8.53906
4.02438,16835,4.05934
3.94255,2898,2.16041
3.54363,2487,0.73101
4.00374,32791,19.3558
3.96869,6834,3.54368
3.97422,11210,8.56244
3.67953,3523,3.47052
3.89829,7290,10.0901
3.65002,4526,1.08614
3.7009,6869,4.85267
4.06676,7647,3.07463
4.02404,3660,9.14791
