rate_ave,genres,rate_cnt,popularity,mid,releasedate
2.88211,Comedy|Family|Romance,598,2.23005,38,11/17/1995
3.41403,Drama|Comedy|Romance,26829,9.82612,39,7/19/1995
3.65635,Drama,937,0.00299,40,12/15/1995
3.85524,Drama|War,4998,1.12873,41,12/29/1995
3.05397,Action|Crime|Drama|History,2529,1.28147,42,10/6/1995
3.47277,Drama|Romance,2626,1.39854,43,12/29/1995
2.6294,Action|Fantasy,12056,8.9169,44,8/18/1995
3.37545,Fantasy|Drama|Comedy|Thriller,9398,2.99974,45,9/27/1995
3.27231,Drama|Romance,3294,0.19872,46,10/6/1995
4.05493,Crime|Mystery|Thriller,44817,19.3566,47,9/22/1995
2.93798,Adventure|Animation|Drama|Family,14706,18.4007,48,6/14/1995
3.59839,Drama|Romance,249,0.27696,49,5/5/1995
4.3291,Drama|Crime|Thriller,49728,20.1178,50,8/16/1995
3.53906,Comedy|Romance,10163,1.60243,52,9/13/1995
3.70192,Drama|Foreign,156,0.00164,53,1/1/1994
2.86876,Action|Adventure|Comedy|Family,1002,0.36434,54,9/29/1995
3.23777,Drama,961,0.00233,55,5/19/1995
3.32676,Comedy|Drama|Romance,2485,0.17406,57,11/2/1995
3.9708,Comedy|Drama|Romance,13202,0.62966,58,9/22/1994
3.59091,Thriller|Drama|Mystery,198,0.00174,59,9/29/1995
3.07998,Family|Fantasy|Adventure,7289,3.01576,60,7/14/1995
3.33864,Drama|Thriller,2420,1.04112,61,1/12/1996
3.75907,Drama|Family,22411,0.41437,62,12/29/1995
3.10375,Comedy,2530,5.16646,63,1/12/1996
2.8414,Comedy|Romance,2169,1.33412,64,1/12/1996
2.41524,Comedy,5557,7.11149,65,1/12/1996
2.16713,Action|ScienceFiction,2528,0.64598,66,1/12/1996
3.35632,Drama|Family,174,0.30063,67,10/22/1995
3.46195,Comedy|Romance,1301,0.92049,68,2/8/1995
3.55498,Comedy|Drama,4820,1.96278,69,4/26/1995
3.28112,Horror|Action|Thriller|Crime,13464,13.9317,70,1/18/1996
2.36067,Action|Thriller|Romance,1317,1.88778,71,11/3/1995
3.48972,Comedy|Drama|Romance,1265,0.64234,72,10/6/1995
3.80235,Drama|History,3367,1.20628,73,3/22/1995
3.30935,Drama|Romance,3745,0.7845,74,1/26/1996
2.47208,Comedy|Family,573,0.00338,75,1/26/1996
3.01273,Horror|ScienceFiction,3575,2.52791,76,9/8/1995
3.43805,,226,0.00145,77,2/18/1995
3.17766,Drama|Thriller,1258,1.13387,78,11/15/1995
3.16407,Drama|Thriller,6223,2.40273,79,2/2/1996
3.72673,Family|Drama,591,0.00192,80,1/1/1995
3.27454,Drama|Crime,3351,2.45238,81,12/1/1995
4.01528,Drama|Comedy,2684,0.69043,82,9/12/1995
3.65422,Romance|Drama,616,0.00154,83,1/26/1996
3.39759,,166,0.00143,84,11/22/1995
3.54056,Drama|Foreign|Romance,2811,1.32366,85,9/10/1995
3.49037,Action|Drama,4517,2.19523,86,2/2/1996
2.39702,Adventure|Comedy|Family,1039,0.07587,87,1/12/1996
3.13043,Comedy,5566,2.24744,88,2/1/1996
3.14024,Crime|Drama|Thriller,3330,2.54934,89,11/22/1995
3.33784,Drama,222,0.00333,90,10/1/1995
2.86,Drama|Horror|Thriller|Romance,2400,1.45143,92,2/23/1996
2.53041,Comedy|Horror|Romance,2055,2.07249,93,10/27/1995
3.52914,Comedy|Drama|Romance,4238,1.29828,94,2/9/1996
3.12226,Action|Adventure|Drama|Thriller,24942,6.35484,95,2/9/1996
3.68836,Comedy,507,0.00585,96,12/1/1995
3.99741,Drama,2121,7.27415,97,5/31/1995
3.12203,Documentary,758,0.00152,99,12/27/1995
3.23405,Drama|Thriller,4373,4.82891,100,2/16/1996
3.78442,Comedy|Crime|Drama,4453,5.77035,101,2/21/1996
2.44322,Comedy|Romance,2087,0.13092,102,2/16/1996
3.28069,Drama|Mystery|ScienceFiction|Thriller,1181,0.09282,103,2/23/1996
3.41431,Comedy,19512,5.29592,104,2/16/1996
3.32687,Drama|Romance,10879,6.30631,105,9/28/1995
3.42279,Drama|Comedy|Family,136,0.00172,106,11/7/1994
3.19784,Adventure|Comedy|Music|Family,7837,2.76873,107,2/16/1996
3.03676,Documentary,136,0.00255,108,5/16/1996
4.04209,Action|Drama|History|War,58412,25.8192,110,5/24/1995
4.10938,Crime|Drama,26608,11.4371,111,2/8/1976
3.40361,Crime|Action|Comedy|Thriller,13072,4.26422,112,1/30/1995
3.12698,Drama|Thriller|Mystery,1138,2.02141,113,2/23/1996
3.61905,Drama,252,0.00246,114,9/13/1995
3.92593,Documentary|Drama|Foreign,1026,0.00146,116,6/8/1995
3.5907,Drama|Crime,1301,0.00212,117,1/20/1995
3.01459,Comedy|Romance,1165,0.02315,118,3/8/1996
2.80443,Comedy|Drama,271,0.24902,119,9/29/1995
2.8913,Action|Adventure|Comedy|Drama|Family,161,0.06623,120,3/22/1996
3.74235,Drama,850,0.00185,121,12/6/1992
2.8657,Drama|Comedy|Romance,4006,8.55965,122,6/30/1992
3.97445,Drama|Comedy|Romance,2427,3.89398,123,7/14/1994
3.49547,Drama|Romance,331,0.00411,124,9/21/1995
3.75487,Comedy|Romance,3590,1.69284,125,3/22/1996
2.34341,Family|Fantasy,1456,5.53448,126,10/26/1994
3.17,Comedy|Romance,200,0.00215,129,2/9/1996
3.29847,Drama|Romance|War,196,0.00246,131,11/22/1995
2.77195,Action|Thriller|Mystery|Romance,2164,2.06542,132,10/13/1995
2.99679,Comedy,7483,1.97444,135,3/1/1996
3.54717,,106,0.00144,136,9/8/1995
3.3029,Comedy,241,0.00845,137,9/15/1995
3.28276,Drama,145,0.0023,138,8/23/1995
3.31144,Drama|Romance,5595,1.70797,140,3/1/1996
3.52217,Comedy,25011,2.3226,141,3/8/1996
3.47081,Comedy|Drama|Romance,4608,0.65227,144,8/9/1995
3.25685,Adventure|Drama|Action|Comedy|Thriller|Crime,13430,9.8506,145,4/7/1995
2.89701,Action|Adventure|Drama|Family,602,0.00164,146,8/25/1995
3.59678,Drama|Crime,4567,5.00766,147,4/21/1995
2.89807,Drama|Comedy|Romance|Foreign,363,0.16183,148,1/1/1995
3.69517,Crime|Comedy|Drama|Thriller,1117,0.71914,149,8/5/1994
3.88335,Drama,53450,8.74407,150,6/30/1995
3.5313,Action|Adventure|Drama,13289,3.91932,151,4/7/1995
3.09895,Drama|Horror,667,1.68422,152,1/10/1995
2.91969,Fantasy,36961,14.1091,153,6/15/1995
3.80272,Drama|Romance,3120,3.00243,154,5/24/1967
3.40445,Drama|Thriller,1303,0.39414,155,5/24/1995
3.53819,Comedy,1728,0.76998,156,9/15/1995
2.79221,Action|Comedy,2683,2.74687,157,6/8/1995
2.90044,Fantasy|Comedy|Family,14624,14.5518,158,5/26/1995
3.41653,Mystery|Crime|Drama,2396,2.28206,159,9/15/1995
2.6094,Action|Adventure|Drama|Mystery|ScienceFiction|Thriller,15475,3.66566,160,6/9/1995
3.74866,Action|Thriller|Drama,25221,2.776,161,5/12/1995
3.99324,Documentary,6290,0.07085,162,9/10/1994
3.4307,Thriller|Action|Crime,15823,6.60247,163,8/25/1995
3.46287,Drama|Mystery|Thriller,4525,0.71648,164,9/15/1995
3.49461,Action|Thriller,38138,15.0563,165,5/15/1995
2.80493,Action|Comedy|Crime|Drama,669,1.38873,166,10/27/1995
3.06722,Action|Adventure|Drama|Romance,13240,4.26052,168,7/7/1995
2.31048,Adventure|Drama|Family,3902,2.86704,169,7/19/1995
3.2092,Action|Crime|Thriller|Drama,8934,7.85099,170,9/14/1995
3.60697,Comedy|Drama|Romance,1449,0.0629,171,8/18/1995
2.73436,Action|Adventure|Drama|ScienceFiction|Thriller,13712,6.3293,172,5/26/1995
2.52713,ScienceFiction,15886,10.6884,173,6/30/1995
2.45305,Action|Comedy|Drama|Thriller,2162,0.22904,174,4/12/1995
3.52118,Drama|Crime,5360,5.46042,175,7/28/1995
3.85054,Drama|Comedy,2402,0.77792,176,1/20/1995
2.88849,Mystery|Horror|Thriller,2345,3.06046,177,8/25/1995
3.38252,Comedy|Drama,515,0.00159,178,5/20/1993
2.7458,Drama|Family|Romance,1251,1.7366,179,5/26/1995
3.57837,Romance|Comedy,8957,2.87854,180,10/20/1995
1.97333,Fantasy|ScienceFiction|Family|Action|Adventure,2831,2.22363,181,6/30/1995
3.08686,Drama|Romance,708,0.12272,182,9/29/1995
3.3624,Thriller|Foreign,625,0.11237,183,10/21/1994
3.11343,Horror|Thriller,335,0.00155,184,9/13/1994
3.12515,Crime|Drama|Mystery|Thriller|Action,25792,8.66848,185,7/28/1995
2.87718,Comedy,12693,8.30836,186,7/12/1995
3.45417,Comedy,960,0.00329,187,6/9/1995
3.33656,Fantasy|Horror|Thriller,2579,2.3269,188,9/1/1995
3.00729,Fantasy|Comedy|Drama,343,0.00327,189,11/17/1995
3.57303,Drama,979,0.08958,190,6/23/1995
2.68831,Drama|History|Romance,1779,2.69056,191,10/13/1995
2.24428,Drama,8474,6.2507,193,9/22/1995
3.84339,Comedy|Drama,6267,2.09827,194,6/9/1995
3.09532,Comedy,3331,2.16503,195,8/4/1995
2.83648,ScienceFiction|Horror|Action,14588,10.7425,196,7/7/1995
3.07522,Drama,113,0.00249,197,9/15/1995
3.41643,Action|Crime|Drama|ScienceFiction,9495,4.91992,198,10/13/1995
3.77894,Drama|Romance,1572,2.17309,199,2/19/1964
2.83238,,349,0.00212,200,9/8/1995
3.03272,Drama|Fantasy,382,1.61439,201,10/27/1995
2.97917,Drama,408,2.94436,202,11/2/1995
3.16195,Comedy,5832,1.6264,203,9/7/1995
2.94104,Action|Thriller,8888,4.43973,204,7/13/1995
3.51316,Drama|Comedy|Family,1368,0.0041,205,9/15/1995
3.4781,Documentary,1050,0.00155,206,8/11/1995
3.37402,Drama|Romance,5846,2.74994,207,8/11/1995
2.85622,Action|Adventure|ScienceFiction|Thriller,29010,8.63201,208,7/28/1995
2.83073,Drama,768,0.8861,209,12/1/1995
2.88086,Action|Western,491,0.9336,210,12/1/1995
3.58908,Drama|Foreign,595,0.0128,211,10/12/1994
2.57609,Adventure|Action|Comedy|Crime|Family,460,1.79046,212,8/4/1995
4.04467,Drama|History,1914,2.10042,213,6/6/1994
4.04499,Drama|War,978,0.38772,214,6/9/1994
3.84938,Drama|Romance,5640,6.76872,215,1/27/1995
3.26174,Comedy,9458,2.87477,216,2/10/1995
3.69474,Comedy|Drama|Family|Foreign|Romance,475,0.02336,324,7/12/1994
2.65561,Comedy,1070,1.65063,325,9/8/1995
4.08357,Drama|Romance|War,1394,1.49548,326,6/30/1994
2.80505,Action|Comedy|Fantasy|ScienceFiction,8184,1.32026,327,3/31/1995
3.15839,Horror|Comedy|Thriller,2497,2.91101,328,1/13/1995
3.3478,ScienceFiction|Action|Adventure|Thriller,29030,4.86902,329,11/17/1994
2.81107,Horror|Thriller,1572,0.19664,330,5/24/1995
3.28759,Drama|Foreign|Romance,572,0.00152,331,4/15/1994
2.76477,Thriller|Horror|ScienceFiction,2132,1.56918,332,4/28/1995
3.35322,Comedy,12069,4.90361,333,3/31/1995
3.82063,Drama|Romance,1653,0.96463,334,9/13/1994
3.2642,Thriller|Crime,405,0.80033,335,4/28/1995
2.86364,Drama|War,308,0.00225,336,2/24/1995
3.75176,Drama,18514,4.13157,337,12/17/1993
2.99685,Action|Crime|ScienceFiction|Thriller,4765,6.46739,338,8/4/1995
3.51302,Comedy|Drama|Romance,24622,3.60047,339,4/21/1995
3.37374,Drama,1493,0.56853,340,11/4/1994
3.58498,Comedy|Romance,406,0.00147,341,9/7/1994
3.48467,Drama|Comedy|Romance,13213,3.87633,342,9/29/1994
2.66263,Comedy|Drama|Family,990,0.09638,343,8/18/1995
2.98373,Comedy|Mystery,42598,9.52419,344,2/4/1994
3.62446,Drama|Comedy,11498,2.86006,345,5/31/1994
3.43395,Drama|Music,1143,1.01033,346,4/1/1994
3.41215,Thriller|Drama|Romance,1588,3.12788,347,7/12/1992
3.68405,Action|Comedy|Thriller,8397,3.41784,348,10/14/1994
3.67276,Action|Drama|Thriller,33231,9.66389,349,8/3/1994
3.46471,Drama|Thriller|Crime|Mystery,16421,1.47412,350,7/20/1994
3.3102,Comedy|Drama|Family|Romance,3825,1.08104,351,8/12/1994
3.25861,Comedy|Drama,1365,0.02685,352,5/13/1994
3.51125,Fantasy|Action|Thriller,16839,8.00724,353,5/11/1994
3.15773,Drama,1249,0.0018,354,12/2/1994
2.42688,Fantasy|Comedy|Family,11133,4.71767,355,5/26/1994
4.03884,Comedy|Drama|Romance,75018,33.0246,356,6/22/1994
3.65149,Comedy|Drama|Romance,28438,4.25407,357,3/9/1994
3.25205,Drama,2313,0.15368,358,1/11/1995
3.29078,Comedy|Drama|Romance,282,0.00174,359,10/14/1994
2.73528,Action|Comedy|Romance,2140,0.94047,360,6/29/1994
3.3341,Comedy|Drama|Romance,5250,5.56022,361,7/28/1994
3.37663,Adventure|Drama|Family,8876,2.20609,362,12/23/1994
3.99847,Documentary|Foreign,653,0.01445,363,10/14/1993
3.78416,Animation|Family,40320,20.7453,364,6/23/1994
3.17026,Drama|History,1900,3.17996,365,12/1/1993
2.96224,Horror|Thriller|Mystery|Fantasy,2701,5.14427,366,10/14/1994
3.17896,Romance|Comedy|Crime|Fantasy,35147,33.4262,367,7/29/1994
3.4015,Action|Adventure|Comedy|Drama|Western,17808,3.41547,368,5/20/1994
3.31449,Drama,1132,0.25461,369,9/7/1994
2.94804,Comedy|Action|Crime,15858,8.44382,370,3/18/1994
3.25618,Comedy|Drama,4372,2.1296,371,3/18/1994
3.25878,Drama|Romance,8913,3.67867,372,2/18/1994
3.77834,Thriller|Crime|Drama,3573,0.88802,373,6/16/1993
2.44575,Comedy|Family,5585,4.15225,374,12/21/1994
3.27586,Drama,261,0.00204,375,12/1/1994
3.29334,Adventure|Action|Thriller|Crime,12944,4.37169,376,9/30/1994
3.49739,Action|Adventure|Crime|Thriller,42644,11.7147,377,6/9/1994
3.12957,Comedy|Romance,2381,0.03307,378,12/16/1994
2.71709,Thriller|ScienceFiction|Action|Crime,6115,6.22726,379,9/15/1994
3.50118,Action|Thriller,48002,13.11,380,7/14/1994
3.40996,Drama|Romance,5542,1.88753,381,4/29/1994
3.04614,Fantasy,5830,4.57917,382,6/17/1994
3.20036,Drama|Action|Western,5323,5.29949,383,6/24/1994
2.98683,Action|Thriller|Crime|Romance,797,0.62967,384,1/20/1995
3.55639,Comedy|Drama,133,0.00276,385,12/22/1994
2.82385,Comedy|Drama,369,0.3711,386,9/15/1994
2.66875,Action|Comedy|Crime,720,0.48327,387,11/23/1994
3.56074,Drama,568,0.00168,388,9/30/1994
3.49029,Drama,206,0.00296,389,1/1/1994
3.41887,Action|Crime,832,0.96021,390,8/6/1965
3.16551,Crime|Drama|Romance,432,1.07926,391,9/28/1994
3.29286,Animation|ScienceFiction,280,0.00143,392,12/10/1993
1.90878,Action|Adventure|Thriller,2198,7.02203,393,12/22/1994
3.33571,Action|Comedy,140,0.3164,394,9/15/1995
2.45392,Action|Fantasy|ScienceFiction,3733,3.70222,405,11/29/1994
3.14437,Mystery|Horror|Thriller,1846,5.22379,407,12/12/1994
3.23362,Drama|Romance,687,0.75989,408,2/25/1994
3.02747,Crime|Drama,455,1.00034,409,3/23/1994
2.99254,Comedy|Family|Fantasy,19511,5.36867,410,11/19/1993
2.80603,Comedy,116,0.58786,411,4/27/1994
3.55577,Drama|Romance,4671,0.82571,412,9/17/1993
2.81098,Comedy|Crime|Music,6748,2.18678,413,8/5/1994
2.62472,Comedy|Family,890,1.71233,414,1/7/1994
2.81867,Action|Comedy,3262,3.58367,415,7/22/1993
2.7105,Action|Adventure|Comedy|Drama|Western,1810,0.93926,416,4/22/1994
3.51878,Comedy|Drama|Romance,3355,0.20231,417,7/29/1994
2.70655,Drama|Comedy|Fantasy,702,0.29259,418,5/6/1994
2.49832,Comedy,5047,2.45264,419,10/15/1993
2.75558,Action|Comedy|Crime,15807,7.88582,420,5/24/1994
3.30114,Action|Adventure|Drama|Family,1838,2.0786,421,7/29/1994
3.23219,Mystery|Crime|Drama|Thriller,1432,0.77059,422,1/26/1994
3.00999,Action|Thriller,2353,4.27901,423,7/1/1994
2.71326,Drama,769,1.07079,424,2/18/1994
3.47377,Drama|Romance,896,1.54151,425,9/16/1994
3.11695,Horror|ScienceFiction|Thriller,3386,2.25806,426,6/9/1993
2.54209,Drama|Romance,3481,0.21797,427,9/3/1993
3.81619,Drama|Crime,5329,4.70478,428,9/14/1993
2.35785,Comedy,1523,0.00716,429,1/7/1994
2.29596,Drama|Comedy,272,0.00215,430,9/3/1993
3.68673,Drama|Action|Thriller|Crime,9950,5.09887,431,11/10/1993
2.72457,Action|Comedy|Drama|Western,13693,1.89889,432,6/10/1994
2.92091,Comedy|Thriller|Mystery,1258,0.00264,433,5/6/1994
3.07243,Action|Adventure|Thriller,26852,5.28366,434,5/28/1993
2.57904,Comedy|ScienceFiction|Family,14777,3.44047,435,7/23/1993
2.61557,Drama|Romance|Mystery,1272,9.46479,436,8/19/1994
2.71097,Action|Comedy,1076,0.83526,438,6/3/1994
3.6047,Comedy,19598,0.97585,440,5/7/1993
3.67581,Comedy|Drama,8973,2.68031,441,9/24/1993
3.03018,Action|Adventure|Comedy|ScienceFiction,19150,9.78178,442,10/6/1993
3.33663,Documentary,606,0.00143,443,6/3/1994
2.42678,Western|Drama|Comedy|Romance,1318,0.09433,444,5/13/1994
2.88735,Comedy,1953,4.77105,445,10/29/1993
3.89141,Drama,3877,2.1173,446,9/16/1993
2.51549,Drama|Comedy|Romance,226,0.03656,447,4/29/1994
3.55541,Drama,3068,1.36364,448,10/15/1993
3.47845,Comedy|Documentary,696,0.00168,449,10/28/1994
3.36072,Drama,3019,0.64679,450,4/29/1994
3.0571,Drama|Mystery|Romance,648,1.443,451,11/5/1993
3.56465,Comedy|Thriller|Mystery|Romance|Foreign,1222,0.00321,452,5/13/1994
3.10733,Comedy|Romance,955,5.87764,453,10/1/1993
3.50121,Drama|Mystery|Thriller,26538,4.89659,454,6/30/1993
2.60811,Family|Adventure,9379,5.3424,455,7/16/1993
3.82791,Crime|Drama|Thriller,953,0.56682,456,8/24/1994
3.99146,Adventure|Action|Thriller|Crime|Mystery,53295,18.3328,457,8/6/1993
3.15288,Action|Drama|Western,1076,2.59264,458,12/10/1993
2.78179,Drama|Action|Thriller,1148,2.14704,459,2/11/1994
2.43683,Family|Comedy|Crime,934,1.76277,460,6/17/1994
3.35147,Drama|Romance,919,0.00216,461,6/10/1994
2.62621,Comedy|Drama,206,0.38711,462,9/8/1994
2.81235,Drama|Thriller,421,3.36073,463,6/4/1993
2.92522,Action|Adventure|Crime|Thriller,3216,8.97203,464,8/20/1993
3.27322,History|War|Action|Drama,743,1.59435,465,12/25/1993
2.905,Action|Comedy|War,14632,8.12845,466,5/21/1993
3.43625,Comedy,800,0.00612,467,1/1/1995
3.31268,Drama|Comedy|Romance,7957,6.27854,468,8/4/1995
3.28506,Drama,1319,1.582,469,10/19/1993
2.15283,Comedy,494,0.70591,470,1/1/1994
3.65554,Comedy|Drama,11814,2.00491,471,3/11/1994
2.88195,Comedy|Drama,737,0.48943,472,2/4/1994
2.3215,Comedy,1409,1.08734,473,8/12/1994
3.72858,Action|Drama|Thriller|Crime|Mystery,19225,6.89552,474,7/8/1993
3.90692,Drama,9911,3.53633,475,12/12/1993
3.00633,Comedy|Drama|Romance,237,0.00178,476,4/22/1994
3.54841,Drama|Music,4689,1.94387,477,6/9/1993
2.43158,Comedy,285,0.00311,478,3/30/1994
2.92345,Action|Thriller|Crime,1241,3.06494,479,10/15/1993
3.65475,Adventure|ScienceFiction,66348,19.8201,480,6/8/1993
3.34166,Thriller|Crime,5864,6.25775,481,9/1/1993
3.43232,Action|Crime|Drama|Thriller,2785,2.07064,482,10/1/1993
3.78347,Drama,605,1.01673,483,8/20/1993
2.78322,Action|Adventure|Drama|Family,745,1.15281,484,7/22/1994
2.76827,Adventure|Fantasy|Action|Comedy|Family,14597,18.3527,485,6/17/1993
2.68941,Comedy|Family,623,0.80406,486,6/4/1993
2.6112,Western|Action|Comedy,634,0.7381,487,3/11/1994
3.41395,Drama|Romance,552,0.29348,488,9/9/1993
2.76871,Comedy,3113,0.78468,489,5/27/1993
3.35248,Drama|Crime,3264,1.99146,490,9/29/1993
3.40313,Drama,5776,1.98167,491,8/25/1993
3.65644,Comedy|Crime|Mystery|Thriller,3209,4.91535,492,8/18/1993
3.61074,Drama|Action|Crime,3892,5.69726,493,5/26/1993
3.37868,Action|Adventure|Drama|Thriller,14120,7.4635,494,3/15/1996
3.45095,Drama|Romance,683,3.17759,495,10/2/1976
3.29257,Thriller|Comedy|Drama|Romance,417,0.00164,496,9/9/1994
3.87563,Drama|Comedy|Romance,14972,7.93517,497,5/7/1993
2.80682,Drama|Romance,396,0.63437,498,10/8/1993
2.76562,Comedy|Romance,416,0.00617,499,10/15/1993
3.39168,Comedy|Drama|Family,35276,12.9599,500,11/24/1993
3.83495,Drama,1954,1.91002,501,9/14/1993
2.32537,Action|Adventure|Comedy|Family,4123,7.29243,502,8/12/1994
3.09929,Comedy|Drama,141,0.00172,503,9/14/1994
2.97543,Action|Drama|ScienceFiction|Thriller,1160,2.80878,504,4/29/1994
2.53255,Fantasy|Drama|Comedy|ScienceFiction|Family,1321,1.98917,505,7/22/1994
3.49015,Romance|Drama|Fantasy,1371,0.78203,506,9/1/1992
3.51396,Crime|Drama|Thriller,3331,3.24504,507,11/24/1993
3.81413,Drama|Mystery,20291,3.76608,508,12/22/1993
3.68956,Drama,17944,7.25755,509,5/19/1993
2.74972,Drama|Romance,909,0.00961,510,7/23/1993
3.14682,Drama,1696,0.25347,511,9/24/1993
2.91779,Horror|ScienceFiction|Thriller,1259,2.24222,512,10/21/1994
2.94082,Comedy|Mystery|Thriller,583,0.00402,513,10/21/1994
3.45481,Comedy,4780,2.85856,514,3/9/1994
3.90018,Drama|Romance,11205,1.82734,515,11/12/1993
3.08533,Comedy|War,3498,0.68346,516,6/3/1994
3.13701,Action|Drama|Thriller,3529,5.53266,517,7/30/1993
2.69378,Comedy|Romance,1254,0.57112,518,10/28/1994
2.24528,Action|Adventure|Crime|ScienceFiction|Thriller,5557,5.9691,519,11/5/1993
3.04446,Comedy,15892,8.59784,520,7/28/1993
3.32822,Action|Crime|Drama|Thriller,2218,1.92935,521,2/4/1994
3.55724,Action|Drama|Thriller,1284,1.9772,522,3/5/1992
3.64803,Drama|Romance,939,0.00293,523,11/1/1993
3.51459,Drama,8909,1.2841,524,10/13/1993
3.38418,Drama,177,0.00168,525,11/17/1993
3.15299,Drama,134,0.34721,526,8/19/1992
4.3031,Drama|History|War,55613,18.5392,527,11/29/1993
2.79176,Comedy|Drama,934,0.0045,528,9/30/1994
3.8355,Drama,11459,1.69224,529,8/13/1993
3.50051,Drama|Family,8896,4.06225,531,8/13/1993
3.05806,Crime|Comedy|Thriller,6252,3.32281,532,4/13/1994
2.92665,Adventure|Fantasy|Action|Thriller|ScienceFiction,3947,2.03194,533,7/1/1994
3.89131,Drama|Romance,4996,0.8427,534,12/25/1993
3.77206,Comedy|Drama,5756,2.74584,535,9/5/1993
3.27945,Drama|Family,764,0.80831,536,9/2/1994
3.16258,Comedy|Drama,3503,1.09175,537,10/1/1993
3.70512,Mystery|Drama|Comedy,5297,1.40371,538,12/8/1993
3.52134,Comedy|Drama|Romance,29549,6.71334,539,6/24/1993
2.72613,Drama|Thriller,5205,3.06964,540,5/21/1993
4.13428,ScienceFiction|Drama|Thriller,31609,17.5422,541,6/25/1982
2.87408,Comedy|Drama|Romance,3681,0.86637,542,7/2/1993
3.21278,Comedy|Crime|Romance,14045,3.51656,543,7/30/1993
2.92838,Crime|Action|Mystery|Thriller,2206,1.9236,544,9/17/1993
2.09157,Family|Fantasy|Adventure|Comedy,6072,7.38052,546,5/27/1993
2.8259,Action|Adventure|Thriller|Crime,830,1.36067,547,4/15/1994
2.90904,Action|Thriller,2897,0.66712,548,9/23/1994
3.89417,Drama|Music,1474,0.00149,549,9/13/1993
3.08411,Comedy|Drama|Family|Romance,3424,0.83716,550,4/8/1994
3.73164,Fantasy|Animation|Family,20987,18.1185,551,10/9/1993
3.19465,Adventure|Action|Comedy,14539,3.83757,552,11/11/1993
3.69199,Action|Adventure|Drama|History|Western,15787,5.06757,553,12/25/1993
3.08802,Drama|Action|Thriller,534,0.00378,554,9/9/1994
3.80105,Action|Thriller|Crime|Romance,15994,9.76786,555,9/9/1993
3.97186,Documentary|History,1244,0.00172,556,12/5/1993
2.78699,Fantasy|ScienceFiction|Family|Animation,1514,3.60664,558,11/23/1994
3.44541,Thriller|Drama|Romance,229,0.00359,561,9/14/1994
3.76509,Comedy|Drama,6811,0.48791,562,5/24/1995
3.44051,Drama|Romance,353,0.10227,563,9/29/1993
2.33432,Action|Adventure|Comedy|Drama|Romance,338,1.85967,564,4/22/1994
3.18436,Drama|Horror|Thriller,716,0.87828,565,9/12/1993
2.79739,Comedy|Romance,153,0.00152,566,1/1/1993
3.36483,Comedy|Drama,381,1.00215,567,10/28/1993
3.55457,Comedy|Drama,394,0.00225,568,1/21/1994
2.94545,Comedy|Family,1705,0.00408,569,6/29/1994
3.46637,Drama,223,0.13823,570,9/24/1993
3.61611,Drama|Foreign|Romance,211,0.00144,571,1/24/1994
